Freq.;V(out);K
1.45211161758773e+007;(-2.15447300207241e+000dB,-1.75385382969326e+002°);0.1
1.45545908058195e+007;(-2.41525662935553e+000dB,-1.75621565741447e+002°);0.1
1.45881426027534e+007;(-2.66718328382607e+000dB,-1.75845965097947e+002°);0.1
1.46217717445671e+007;(-2.91078554517923e+000dB,-1.76059648194288e+002°);0.1
1.46554784095590e+007;(-3.14654980438615e+000dB,-1.76263557977661e+002°);0.1
1.46892627764385e+007;(-3.37492140573476e+000dB,-1.76458530708032e+002°);0.1
1.47231250243271e+007;(-3.59630909932805e+000dB,-1.76645310602183e+002°);0.1
1.47570653327588e+007;(-3.81108891102276e+000dB,-1.76824562135898e+002°);0.1
1.47910838816819e+007;(-4.01960751811579e+000dB,-1.76996880428869e+002°);0.1
1.48251808514594e+007;(-4.22218520400239e+000dB,-1.77162800051342e+002°);0.1
1.48593564228699e+007;(-4.41911845279225e+000dB,-1.77322802524869e+002°);0.1
1.48936107771090e+007;(-4.61068223489077e+000dB,-1.77477322737176e+002°);0.1
1.49279440957898e+007;(-4.79713202638212e+000dB,-1.77626754449908e+002°);0.1
1.49623565609442e+007;(-4.97870559832885e+000dB,-1.77771455045182e+002°);0.1
1.49968483550236e+007;(-5.15562460655283e+000dB,-1.77911749630727e+002°);0.1
1.50000000000000e+007;(-5.17154559362252e+000dB,-1.77924343889558e+002°);0.1
Step Information: K=190m  (Run: 2/11);;0.19
1.00000000000000e+007;(-1.32101805453811e+001dB,4.36503851515136e+000°);0.19
1.00230523807790e+007;(-1.31199390594065e+001dB,4.30775902267630e+000°);0.19
1.00461579027840e+007;(-1.30292048077402e+001dB,4.25028744136048e+000°);0.19
1.00693166885180e+007;(-1.29379699332074e+001dB,4.19261871747743e+000°);0.19
1.00925288607668e+007;(-1.28462263963697e+001dB,4.13474764604919e+000°);0.19
1.01157945425990e+007;(-1.27539659698265e+001dB,4.07666886491761e+000°);0.19
1.01391138573668e+007;(-1.26611802322907e+001dB,4.01837684853350e+000°);0.19
1.01624869287070e+007;(-1.25678605624306e+001dB,3.95986590144769e+000°);0.19
1.01859138805412e+007;(-1.24739981324647e+001dB,3.90113015148763e+000°);0.19
1.02093948370768e+007;(-1.23795839014990e+001dB,3.84216354260115e+000°);0.19
1.02329299228075e+007;(-1.22846086085931e+001dB,3.78295982734870e+000°);0.19
1.02565192625141e+007;(-1.21890627655427e+001dB,3.72351255902345e+000°);0.19
1.02801629812647e+007;(-1.20929366493630e+001dB,3.66381508337777e+000°);0.19
1.03038612044162e+007;(-1.19962202944606e+001dB,3.60386052993292e+000°);0.19
1.03276140576140e+007;(-1.18989034844753e+001dB,3.54364180284708e+000°);0.19
1.03514216667934e+007;(-1.18009757437777e+001dB,3.48315157131562e+000°);0.19
1.03752841581801e+007;(-1.17024263286021e+001dB,3.42238225947514e+000°);0.19
1.03992016582906e+007;(-1.16032442177995e+001dB,3.36132603578121e+000°);0.19
1.04231742939330e+007;(-1.15034181031871e+001dB,3.29997480182762e+000°);0.19
1.04472021922080e+007;(-1.14029363794762e+001dB,3.23832018057243e+000°);0.19
1.04712854805090e+007;(-1.13017871337541e+001dB,3.17635350393384e+000°);0.19
1.04954242865232e+007;(-1.11999581344974e+001dB,3.11406579971632e+000°);0.19
1.05196187382322e+007;(-1.10974368200908e+001dB,3.05144777782411e+000°);0.19
1.05438689639126e+007;(-1.09942102868247e+001dB,2.98848981571683e+000°);0.19
1.05681750921366e+007;(-1.08902652763431e+001dB,2.92518194305771e+000°);0.19
1.05925372517729e+007;(-1.07855881625110e+001dB,2.86151382550197e+000°);0.19
1.06169555719872e+007;(-1.06801649376690e+001dB,2.79747474756857e+000°);0.19
1.06414301822431e+007;(-1.05739811982412e+001dB,2.73305359453430e+000°);0.19
1.06659612123026e+007;(-1.04670221296578e+001dB,2.66823883328443e+000°);0.19
1.06905487922266e+007;(-1.03592724905556e+001dB,2.60301849204932e+000°);0.19
1.07151930523760e+007;(-1.02507165962113e+001dB,2.53738013895047e+000°);0.19
1.07398941234124e+007;(-1.01413383011660e+001dB,2.47131085927362e+000°);0.19
1.07646521362983e+007;(-1.00311209809902e+001dB,2.40479723138022e+000°);0.19
1.07894672222983e+007;(-9.92004751313954e+000dB,2.33782530116077e+000°);0.19
1.08143395129794e+007;(-9.80810025684599e+000dB,2.27038055492633e+000°);0.19
1.08392691402120e+007;(-9.69526103198561e+000dB,2.20244789062573e+000°);0.19
1.08642562361706e+007;(-9.58151109685960e+000dB,2.13401158726636e+000°);0.19
1.08893009333343e+007;(-9.46683112482189e+000dB,2.06505527240681e+000°);0.19
1.09144033644875e+007;(-9.35120117967949e+000dB,1.99556188757771e+000°);0.19
1.09395636627209e+007;(-9.23460068978893e+000dB,1.92551365147552e+000°);0.19
1.09647819614318e+007;(-9.11700842076414e+000dB,1.85489202075986e+000°);0.19
1.09900583943252e+007;(-8.99840244670617e+000dB,1.78367764827071e+000°);0.19
1.10153930954141e+007;(-8.87876011985773e+000dB,1.71185033846512e+000°);0.19
1.10407861990207e+007;(-8.75805803857817e+000dB,1.63938899985552e+000°);0.19
1.10662378397766e+007;(-8.63627201352613e+000dB,1.56627159421133e+000°);0.19
1.10917481526240e+007;(-8.51337703192864e+000dB,1.49247508226452e+000°);0.19
1.11173172728159e+007;(-8.38934721980561e+000dB,1.41797536563523e+000°);0.19
1.11429453359173e+007;(-8.26415580200771e+000dB,1.34274722466678e+000°);0.19
1.11686324778056e+007;(-8.13777505991469e+000dB,1.26676425183074e+000°);0.19
1.11943788346715e+007;(-8.01017628662800e+000dB,1.18999878032893e+000°);0.19
1.12201845430196e+007;(-7.88132973947808e+000dB,1.11242180748420e+000°);0.19
1.12460497396692e+007;(-7.75120458965129e+000dB,1.03400291247070e+000°);0.19
1.12719745617551e+007;(-7.61976886872499e+000dB,9.54710167890233e-001°);0.19
1.12979591467279e+007;(-7.48698941188066e+000dB,8.74510044651397e-001°);0.19
1.13240036323555e+007;(-7.35283179754504e+000dB,7.93367309552306e-001°);0.19
1.13501081567231e+007;(-7.21726028318744e+000dB,7.11244914906571e-001°);0.19
1.13762728582343e+007;(-7.08023773697560e+000dB,6.28103879482072e-001°);0.19
1.14024978756117e+007;(-6.94172556496769e+000dB,5.43903159945487e-001°);0.19
1.14287833478977e+007;(-6.80168363348586e+000dB,4.58599511917786e-001°);0.19
1.14551294144553e+007;(-6.66007018628576e+000dB,3.72147339649202e-001°);0.19
1.14815362149688e+007;(-6.51684175609859e+000dB,2.84498533212106e-001°);0.19
1.15080038894443e+007;(-6.37195307008231e+000dB,1.95602291986957e-001°);0.19
1.15345325782109e+007;(-6.22535694867404e+000dB,1.05404933077421e-001°);0.19
1.15611224219210e+007;(-6.07700419728442e+000dB,1.38496831334274e-002°);0.19
1.15877735615512e+007;(-5.92684349022065e+000dB,-7.91235481167518e-002°);0.19
1.16144861384034e+007;(-5.77482124616139e+000dB,-1.73578414525652e-001°);0.19
1.16412602941049e+007;(-5.62088149443843e+000dB,-2.69582402506888e-001°);0.19
1.16680961706096e+007;(-5.46496573130139e+000dB,-3.67207124725097e-001°);0.19
1.16949939101987e+007;(-5.30701276525624e+000dB,-4.66528641182297e-001°);0.19
1.17219536554813e+007;(-5.14695855046949e+000dB,-5.67627810724366e-001°);0.19
1.17489755493953e+007;(-4.98473600712147e+000dB,-6.70590676379498e-001°);0.19
1.17760597352080e+007;(-4.82027482746845e+000dB,-7.75508888383555e-001°);0.19
1.18032063565173e+007;(-4.65350126623420e+000dB,-8.82480169257051e-001°);0.19
1.18304155572516e+007;(-4.48433791379548e+000dB,-9.91608825884664e-001°);0.19
1.18576874816716e+007;(-4.31270345044715e+000dB,-1.10300631422525e+000°);0.19
1.18850222743701e+007;(-4.13851237983253e+000dB,-1.21679186306163e+000°);0.19
1.19124200802737e+007;(-3.96167473939580e+000dB,-1.33309316410616e+000°);0.19
1.19398810446427e+007;(-3.78209578545286e+000dB,-1.45204713683073e+000°);0.19
1.19674053130724e+007;(-3.59967565018124e+000dB,-1.57380077761586e+000°);0.19
1.19949930314937e+007;(-3.41430896749102e+000dB,-1.69851210424428e+000°);0.19
1.20226443461741e+007;(-3.22588446435107e+000dB,-1.82635120844086e+000°);0.19
1.20503594037179e+007;(-3.03428451370032e+000dB,-1.95750143112686e+000°);0.19
1.20781383510678e+007;(-2.83938464456328e+000dB,-2.09216067737231e+000°);0.19
1.21059813355048e+007;(-2.64105300439925e+000dB,-2.23054289076382e+000°);0.19
1.21338885046497e+007;(-2.43914976803502e+000dB,-2.37287971014397e+000°);0.19
1.21618600064636e+007;(-2.23352648674348e+000dB,-2.51942233552405e+000°);0.19
1.21898959892486e+007;(-2.02402537011621e+000dB,-2.67044363455853e+000°);0.19
1.22179966016487e+007;(-1.81047849231434e+000dB,-2.82624052645435e+000°);0.19
1.22461619926504e+007;(-1.59270691304265e+000dB,-2.98713668677221e+000°);0.19
1.22743923115840e+007;(-1.37051970213931e+000dB,-3.15348562450760e+000°);0.19
1.23026877081238e+007;(-1.14371285497246e+000dB,-3.32567419243636e+000°);0.19
1.23310483322890e+007;(-9.12068083833753e-001dB,-3.50412660335299e+000°);0.19
1.23594743344450e+007;(-6.75351468157320e-001dB,-3.68930903904077e+000°);0.19
1.23879658653036e+007;(-4.33311943601124e-001dB,-3.88173495619679e+000°);0.19
1.24165230759240e+007;(-1.85679606715448e-001dB,-4.08197121494444e+000°);0.19
1.24451461177138e+007;(6.78361920197194e-002dB,-4.29064518200083e+000°);0.19
1.24738351424294e+007;(3.27548998706223e-001dB,-4.50845299341972e+000°);0.19
1.25025903021771e+007;(5.93797687639332e-001dB,-4.73616920283881e+000°);0.19
1.25314117494141e+007;(8.66949218325087e-001dB,-4.97465809263921e+000°);0.19
1.25602996369487e+007;(1.14740177034654e+000dB,-5.22488699039247e+000°);0.19
1.25892541179416e+007;(1.43558831834230e+000dB,-5.48794201548101e+000°);0.19
1.26182753459066e+007;(1.73198072125184e+000dB,-5.76504678619195e+000°);0.19
1.26473634747114e+007;(2.03709441440394e+000dB,-6.05758475312489e+000°);0.19
1.26765186585784e+007;(2.35149381056083e+000dB,-6.36712600027077e+000°);0.19
1.27057410520853e+007;(2.67579853737656e+000dB,-6.69545958396849e+000°);0.19
1.27350308101665e+007;(3.01069066472923e+000dB,-7.04463278063813e+000°);0.19
1.27643880881134e+007;(3.35692310704233e+000dB,-7.41699901237328e+000°);0.19
1.27938130415752e+007;(3.71532942415870e+000dB,-7.81527675117259e+000°);0.19
1.28233058265601e+007;(4.08683529080942e+000dB,-8.24262241877388e+000°);0.19
1.28528665994361e+007;(4.47247196041259e+000dB,-8.70272127262406e+000°);0.19
1.28824955169313e+007;(4.87339211467157e+000dB,-9.19990160474252e+000°);0.19
1.29121927361353e+007;(5.29088856603241e+000dB,-9.73927943276498e+000°);0.19
1.29419584144998e+007;(5.72641636301709e+000dB,-1.03269434579112e+001°);0.19
1.29717927098395e+007;(6.18161893142700e+000dB,-1.09701937408836e+001°);0.19
1.30016957803328e+007;(6.65835895025708e+000dB,-1.16778528128531e+001°);0.19
1.30316677845229e+007;(7.15875467327494e+000dB,-1.24606755695364e+001°);0.19
1.30617088813183e+007;(7.68522229066439e+000dB,-1.33318954817428e+001°);0.19
1.30918192299940e+007;(8.24052452942308e+000dB,-1.43079612354747e+001°);0.19
1.31219989901919e+007;(8.82782471596463e+000dB,-1.54095427422100e+001°);0.19
1.31522483219223e+007;(9.45074336920679e+000dB,-1.66629229434559e+001°);0.19
1.31825673855640e+007;(1.01134098493449e+001dB,-1.81019486637086e+001°);0.19
1.32129563418657e+007;(1.08204922039000e+001dB,-1.97707996361498e+001°);0.19
1.32434153519466e+007;(1.15771691018042e+001dB,-2.17279621802554e+001°);0.19
1.32739445772973e+007;(1.23889682628405e+001dB,-2.40519732714993e+001°);0.19
1.33045441797808e+007;(1.32613147742166e+001dB,-2.68497192322703e+001°);0.19
1.33352143216331e+007;(1.41984675221455e+001dB,-3.02682209036010e+001°);0.19
1.33659551654643e+007;(1.52011943647183e+001dB,-3.45104700432677e+001°);0.19
1.33967668742593e+007;(1.62619383686737e+001dB,-3.98535401738883e+001°);0.19
1.34276496113785e+007;(1.73553837438122e+001dB,-4.66587754736119e+001°);0.19
1.34586035405594e+007;(1.84222497128874e+001dB,-5.53406749169182e+001°);0.19
1.34896288259164e+007;(1.93493558741056e+001dB,-6.62184770794894e+001°);0.19
1.35207256319427e+007;(1.99684712900149e+001dB,-7.91720718578099e+001°);0.19
1.35518941235103e+007;(2.01181452753528e+001dB,-9.32689916306247e+001°);0.19
1.35831344658714e+007;(1.97576689717998e+001dB,-1.06949565754615e+002°);0.19
1.36144468246594e+007;(1.90028222218127e+001dB,-1.18897657354618e+002°);0.19
1.36458313658891e+007;(1.80313155866374e+001dB,-1.28625721823665e+002°);0.19
1.36772882559584e+007;(1.69858449042449e+001dB,-1.36293359260939e+002°);0.19
1.37088176616484e+007;(1.59497257662423e+001dB,-1.42298482872025e+002°);0.19
1.37404197501250e+007;(1.49623484091279e+001dB,-1.47037126212703e+002°);0.19
1.37720946889394e+007;(1.40383530666626e+001dB,-1.50827472884881e+002°);0.19
1.38038426460287e+007;(1.31801951913289e+001dB,-1.53906400235634e+002°);0.19
1.38356637897177e+007;(1.23849083202892e+001dB,-1.56445965043847e+002°);0.19
1.38675582887188e+007;(1.16474449021227e+001dB,-1.58570871626709e+002°);0.19
1.38995263121334e+007;(1.09622433080218e+001dB,-1.60372228296450e+002°);0.19
1.39315680294529e+007;(1.03239219459548e+001dB,-1.61917428308171e+002°);0.19
1.39636836105593e+007;(9.72755495837988e+000dB,-1.63257026294786e+002°);0.19
1.39958732257261e+007;(9.16875215822112e+000dB,-1.64429490081906e+002°);0.19
1.40281370456195e+007;(8.64365107174594e+000dB,-1.65464498093630e+002°);0.19
1.40604752412990e+007;(8.14887292293600e+000dB,-1.66385249404759e+002°);0.19
1.40928879842186e+007;(7.68146708761552e+000dB,-1.67210101574098e+002°);0.19
1.41253754462274e+007;(7.23885522762197e+000dB,-1.67953746966592e+002°);0.19
